osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,bridge,maxspeed,junction,access,est_width,tunnel,service
77512182,Piazza Roma,unclassified,False,False,19.686,,"LINESTRING (12.6615498 46.1603804, 12.6618034 46.1604025)",,,,,,,,
"[77512181, 77512206]","['Via Marziano Ciotti', 'Piazza Roma']",secondary,False,False,32.122,SP29,"LINESTRING (12.6615498 46.1603804, 12.6615591 46.1603182, 12.6615652 46.1602445, 12.6615524 46.1601324, 12.6615445 46.1600927)",,,,,,,,
"[179776426, 77512276]","['Largo Duomo', 'Piazza Roma']",secondary,False,True,50.176,SP29,"LINESTRING (12.6615498 46.1603804, 12.6615081 46.1604514, 12.6614718 46.1606568, 12.6614611 46.1608243)",,,,,,,,
77512331,Via Marziano Ciotti,secondary,False,False,24.18,SP29,"LINESTRING (12.6603584 46.1576454, 12.6601621 46.1574757)",,,,,,,,
901928424,Via Stazione,tertiary,False,False,30.593,SP19,"LINESTRING (12.6603584 46.1576454, 12.6603127 46.1573721)",,,,,,,,
77512181,Via Marziano Ciotti,secondary,False,True,41.290000000000006,SP29,"LINESTRING (12.6603584 46.1576454, 12.6604494 46.1578205, 12.6605043 46.1579186, 12.6605461 46.1579932)",,,,,,,,
77512280,Via San Martino,primary,False,False,108.402,SP19,"LINESTRING (12.6516924 46.1014144, 12.6518466 46.1023834)",2,,,,,,,
60589436,Via San Martino,residential,False,True,312.55400000000003,,"LINESTRING (12.6516924 46.1014144, 12.6503122 46.1016667, 12.6490728 46.1017884, 12.648013 46.1019158, 12.6477193 46.1019551)",,,,,,,,
"[77512280, 1098283969, 1098283970]",Via San Martino,primary,False,True,722.1320000000001,SP19,"LINESTRING (12.6516924 46.1014144, 12.651624 46.1008944, 12.651609 46.1000759, 12.6516094 46.0998926, 12.6516088 46.0991959, 12.6516036 46.0981364, 12.6516194 46.0970421, 12.6516056 46.0964146, 12.6516321 46.0957557, 12.651769 46.0950913, 12.6518066 46.0949316)",2,yes,,,,,,
77512210,,primary,False,False,96.329,,"LINESTRING (12.6684513 46.1461234, 12.6693705 46.1467107)",2,,,,,,,
77512210,,primary,False,True,1403.443,,"LINESTRING (12.6684513 46.1461234, 12.6675858 46.1453968, 12.66675 46.144363, 12.6659722 46.1433332, 12.665022 46.141853, 12.6643267 46.1405553, 12.6637449 46.1388125, 12.6634304 46.1379342, 12.6630535 46.1370809, 12.662799 46.1365635, 12.6625181 46.1360578, 12.6619612 46.1350414, 12.6616629 46.1345144)",2,,,,,,,
77512366,Via Roma,secondary,True,False,4.631,SP29,"LINESTRING (12.6611966 46.1630372, 12.6611916 46.1629957)",,,,,,,,
62353626,Via Roma,secondary,False,True,236.74499999999998,SP29,"LINESTRING (12.6611966 46.1630372, 12.6612084 46.1631092, 12.6612322 46.1633123, 12.6612548 46.1635903, 12.6612634 46.164032, 12.6612339 46.164291, 12.6611742 46.1645246, 12.6611712 46.16476, 12.6611835 46.1650041, 12.6611843 46.1651601)",,,,,,,,
179776428,Via Giuseppe Verdi,primary,False,True,222.293,,"LINESTRING (12.6611966 46.1630372, 12.6612496 46.162991, 12.661297 46.1629309, 12.6613747 46.1628072, 12.661598 46.1625129, 12.6618485 46.162232, 12.66197 46.1620747, 12.6620487 46.1619467, 12.662074 46.1618923, 12.6622791 46.1614504, 12.6623924 46.1612286)",2,,,,,,,
1000479913,Via Aristide Zenari,primary,False,True,105.75899999999999,SP19,"LINESTRING (12.6611966 46.1630372, 12.6611251 46.1630674, 12.6610624 46.1630818, 12.6608714 46.1631136, 12.66068 46.163146, 12.6598699 46.163271)",2,,,,,,,
62353626,Via Roma,secondary,False,False,76.461,SP29,"LINESTRING (12.6609156 46.1658217, 12.6611361 46.1653131, 12.6611843 46.1651601)",,,,,,,,
62353626,Via Roma,secondary,False,True,45.93,SP29,"LINESTRING (12.6609156 46.1658217, 12.6608209 46.1660455, 12.6607629 46.1662208)",,,,,,,,
77512101,Via Castello,residential,False,False,312.24199999999996,,"LINESTRING (12.6609156 46.1658217, 12.6605907 46.1657829, 12.660548 46.1657336, 12.6604658 46.1652408, 12.6603574 46.1646133, 12.660249 46.1639759, 12.660111 46.1637394, 12.6598699 46.163271)",,,,,,,,
