u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
250704262,2930909345,0,2.88994e+08,,,cycleway,,"LINESTRING (686872.0266859359 4929768.877728899, 686870.2405794767 4929767.625695461, 686863.731979316 4929764.025498223, 686855.4924409256 4929760.297694831, 686841.0679595191 4929753.334787123, 686837.3780898293 4929752.984075377)",38.301,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
250711129,5888417390,0,6.23497e+08,['2'],['Tangenziale delle Biciclette'],cycleway,,"LINESTRING (687329.0922620819 4929901.964089265, 687326.3291949815 4929915.00265993)",13.335,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
250711129,5888417389,0,6.23497e+08,['2'],['Tangenziale delle Biciclette'],cycleway,,"LINESTRING (687329.0922620819 4929901.964089265, 687329.6239093312 4929899.255716037, 687330.5800343344 4929895.347813739)",6.787,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
250763179,3241199659,0,3.17813e+08,,,cycleway,,"LINESTRING (686300.0729465547 4930235.7072668355, 686307.1619175805 4930245.693644886)",12.239,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
251064744,3182706350,0,2.32483e+07,,,cycleway,,"LINESTRING (687628.5127146316 4929641.970557354, 687643.5550682576 4929645.984800434)",15.528,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
251153175,3892417403,0,3.85905e+08,,,cycleway,,"LINESTRING (687383.5645018627 4929532.344135506, 687394.5159185098 4929530.058628742)",11.158,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
251553829,5844463749,0,2.32484e+07,['2'],,cycleway,,"LINESTRING (687992.7343248667 4929162.420465521, 687964.3599991847 4929091.627726945)",76.274,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
251553829,10881890254,0,2.47687e+07,,,cycleway,,"LINESTRING (687992.7343248667 4929162.420465521, 688060.5828733738 4929131.877319449)",74.247,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
251553829,11205773158,0,1.20949e+09,,,cycleway,,"LINESTRING (687992.7343248667 4929162.420465521, 687997.0579729183 4929166.180907343)",5.722,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
251808469,254616378,0,2.32685e+07,,,cycleway,,"LINESTRING (688710.1191414818 4928851.211683612, 688564.593634879 4928917.914927187)",159.744,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
