osmid,y,x,street_count,highway,ref,geometry,lts,message
6714648,44.5241358,11.293704,3,,,POINT (11.293704 44.5241358),0.0,Node LTS is max intersecting LTS
6714672,44.5165378,11.3756315,3,motorway_junction,,POINT (11.3756315 44.5165378),0.0,Node LTS is max intersecting LTS
33344145,44.4976901,11.3503918,4,,,POINT (11.3503918 44.4976901),2.0,Node LTS is max intersecting LTS
82550591,44.4942399,11.3464651,4,traffic_signals,,POINT (11.3464651 44.4942399),2.0,LTS 3-4 with traffic signals
82550595,44.4914668,11.3464661,4,traffic_signals,,POINT (11.3464661 44.4914668),2.0,LTS 3-4 with traffic signals
82550597,44.4871712,11.3481673,3,,,POINT (11.3481673 44.4871712),2.0,Node LTS is max intersecting LTS
82550600,44.4860835,11.3482852,3,,,POINT (11.3482852 44.4860835),2.0,Node LTS is max intersecting LTS
82550601,44.4856545,11.3482468,3,,,POINT (11.3482468 44.4856545),3.0,Node LTS is max intersecting LTS
82550604,44.485201,11.3503156,3,,,POINT (11.3503156 44.485201),3.0,Node LTS is max intersecting LTS
82550607,44.4820868,11.3490983,3,,,POINT (11.3490983 44.4820868),3.0,Node LTS is max intersecting LTS
82550612,44.4800298,11.3490101,3,,,POINT (11.3490101 44.4800298),3.0,Node LTS is max intersecting LTS
82550616,44.480458,11.3479365,3,,,POINT (11.3479365 44.480458),3.0,Node LTS is max intersecting LTS
82550623,44.4810387,11.3457472,3,,,POINT (11.3457472 44.4810387),3.0,Node LTS is max intersecting LTS
82550625,44.4810539,11.3452486,3,,,POINT (11.3452486 44.4810539),3.0,Node LTS is max intersecting LTS
82550627,44.4806512,11.3440935,4,crossing,,POINT (11.3440935 44.4806512),2.0,Node LTS is max intersecting LTS
82550636,44.4846452,11.3393625,3,,,POINT (11.3393625 44.4846452),3.0,Node LTS is max intersecting LTS
82550637,44.4834647,11.3389537,3,,,POINT (11.3389537 44.4834647),3.0,Node LTS is max intersecting LTS
102265551,44.4923376,11.3513486,3,,,POINT (11.3513486 44.4923376),3.0,Node LTS is max intersecting LTS
102265554,44.4920727,11.3520565,3,,,POINT (11.3520565 44.4920727),3.0,Node LTS is max intersecting LTS
102265561,44.489907,11.3574737,4,traffic_signals,,POINT (11.3574737 44.489907),2.0,LTS 3-4 with traffic signals
120278835,44.5250472,11.3594516,3,motorway_junction,,POINT (11.3594516 44.5250472),0.0,Node LTS is max intersecting LTS
120280816,44.5277372,11.3572732,3,,,POINT (11.3572732 44.5277372),3.0,Node LTS is max intersecting LTS
123656053,44.4985069,11.3009387,3,,,POINT (11.3009387 44.4985069),4.0,Node LTS is max intersecting LTS
177161397,44.5293934,11.3595793,3,,,POINT (11.3595793 44.5293934),0.0,Node LTS is max intersecting LTS
177161509,44.5305466,11.3601732,3,,,POINT (11.3601732 44.5305466),0.0,Node LTS is max intersecting LTS
177161599,44.5288755,11.359104,3,,,POINT (11.359104 44.5288755),0.0,Node LTS is max intersecting LTS
177163673,44.5272365,11.3544638,3,,,POINT (11.3544638 44.5272365),0.0,Node LTS is max intersecting LTS
177180619,44.4908112,11.2685521,3,motorway_junction,6,POINT (11.2685521 44.4908112),4.0,Node LTS is max intersecting LTS
177182730,44.4917551,11.2687122,3,,,POINT (11.2687122 44.4917551),3.0,Node LTS is max intersecting LTS
244223272,44.4947104,11.3284442,4,traffic_signals,,POINT (11.3284442 44.4947104),2.0,LTS 3-4 with traffic signals
244223273,44.4954511,11.3212147,3,,,POINT (11.3212147 44.4954511),3.0,Node LTS is max intersecting LTS
244223275,44.4946042,11.3145025,3,,,POINT (11.3145025 44.4946042),3.0,Node LTS is max intersecting LTS
244223277,44.493978,11.3108743,4,traffic_signals,,POINT (11.3108743 44.493978),2.0,LTS 3-4 with traffic signals
244223479,44.4895993,11.3209318,3,,,POINT (11.3209318 44.4895993),3.0,Node LTS is max intersecting LTS
245980299,44.5011961,11.3444067,4,traffic_signals,,POINT (11.3444067 44.5011961),2.0,LTS 3-4 with traffic signals
245980310,44.4976461,11.3490524,3,,,POINT (11.3490524 44.4976461),2.0,Node LTS is max intersecting LTS
245980367,44.4996769,11.3504718,5,traffic_signals,,POINT (11.3504718 44.4996769),2.0,LTS 3-4 with traffic signals
245980471,44.4994809,11.3512625,3,,,POINT (11.3512625 44.4994809),3.0,Node LTS is max intersecting LTS
250704251,44.494268,11.3508053,3,,,POINT (11.3508053 44.494268),3.0,Node LTS is max intersecting LTS
250704259,44.4947661,11.3470117,3,,,POINT (11.3470117 44.4947661),1.0,Node LTS is max intersecting LTS
250704262,44.4970505,11.350527,3,,,POINT (11.350527 44.4970505),2.0,Node LTS is max intersecting LTS
250704263,44.4974058,11.3536309,3,,,POINT (11.3536309 44.4974058),2.0,Node LTS is max intersecting LTS
250704266,44.4982128,11.3559806,3,,,POINT (11.3559806 44.4982128),3.0,Node LTS is max intersecting LTS
250704267,44.4975394,11.3484749,4,,,POINT (11.3484749 44.4975394),2.0,Node LTS is max intersecting LTS
250704269,44.4973991,11.3475881,3,,,POINT (11.3475881 44.4973991),2.0,Node LTS is max intersecting LTS
250704271,44.4980211,11.3476765,4,,,POINT (11.3476765 44.4980211),1.0,Node LTS is max intersecting LTS
250704273,44.4985905,11.3463651,4,,,POINT (11.3463651 44.4985905),2.0,Node LTS is max intersecting LTS
250704274,44.4988922,11.3453524,4,,,POINT (11.3453524 44.4988922),2.0,Node LTS is max intersecting LTS
250704278,44.4968573,11.3471837,3,,,POINT (11.3471837 44.4968573),2.0,Node LTS is max intersecting LTS
250704281,44.4958487,11.3495872,3,,,POINT (11.3495872 44.4958487),2.0,Node LTS is max intersecting LTS
250711129,44.4981292,11.3563195,4,,,POINT (11.3563195 44.4981292),3.0,Node LTS is max intersecting LTS
250711130,44.4981174,11.3565054,4,traffic_signals,,POINT (11.3565054 44.4981174),2.0,LTS 3-4 with traffic signals
250711131,44.4964136,11.3510894,3,,,POINT (11.3510894 44.4964136),1.0,Node LTS is max intersecting LTS
250713168,44.4991928,11.3525113,3,,,POINT (11.3525113 44.4991928),3.0,Node LTS is max intersecting LTS
250715883,44.5009862,11.3563275,4,traffic_signals,,POINT (11.3563275 44.5009862),2.0,LTS 3-4 with traffic signals
250715900,44.5034926,11.3499198,3,,,POINT (11.3499198 44.5034926),3.0,Node LTS is max intersecting LTS
250715913,44.5043442,11.3475455,3,,,POINT (11.3475455 44.5043442),3.0,Node LTS is max intersecting LTS
250715915,44.5048241,11.3454896,4,traffic_signals,,POINT (11.3454896 44.5048241),2.0,LTS 3-4 with traffic signals
250715923,44.5035637,11.3493576,6,traffic_signals,,POINT (11.3493576 44.5035637),2.0,LTS 3-4 with traffic signals
250715930,44.5020716,11.352566,3,traffic_signals,,POINT (11.352566 44.5020716),2.0,LTS 3-4 with traffic signals
250715931,44.5020376,11.3525686,3,,,POINT (11.3525686 44.5020376),3.0,Node LTS is max intersecting LTS
250715950,44.5001896,11.3508748,3,,,POINT (11.3508748 44.5001896),3.0,Node LTS is max intersecting LTS
250718678,44.4996315,11.3546785,4,,,POINT (11.3546785 44.4996315),,Node not found in edges
250734621,44.4958302,11.3370271,4,traffic_signals,,POINT (11.3370271 44.4958302),2.0,LTS 3-4 with traffic signals
250734645,44.5054449,11.3414582,3,traffic_signals,,POINT (11.3414582 44.5054449),2.0,LTS 3-4 with traffic signals
250734651,44.5010511,11.3300993,3,,,POINT (11.3300993 44.5010511),3.0,Node LTS is max intersecting LTS
250734656,44.4969871,11.3274971,4,traffic_signals,,POINT (11.3274971 44.4969871),2.0,LTS 3-4 with traffic signals
250734657,44.4947516,11.3281975,4,traffic_signals,,POINT (11.3281975 44.4947516),2.0,LTS 3-4 with traffic signals
250734659,44.490476,11.3294818,4,,,POINT (11.3294818 44.490476),3.0,Node LTS is max intersecting LTS
250734660,44.4901339,11.3295572,3,,,POINT (11.3295572 44.4901339),3.0,Node LTS is max intersecting LTS
250734679,44.4886697,11.3334393,4,traffic_signals,,POINT (11.3334393 44.4886697),2.0,LTS 3-4 with traffic signals
250734683,44.4859741,11.3424087,3,,,POINT (11.3424087 44.4859741),3.0,Node LTS is max intersecting LTS
250734684,44.485756,11.3444326,4,traffic_signals,,POINT (11.3444326 44.485756),2.0,LTS 3-4 with traffic signals
250734686,44.4853248,11.3481717,5,traffic_signals,,POINT (11.3481717 44.4853248),2.0,LTS 3-4 with traffic signals
250734697,44.4880286,11.347896,4,,,POINT (11.347896 44.4880286),2.0,Node LTS is max intersecting LTS
250734851,44.4940883,11.3569458,4,traffic_signals,,POINT (11.3569458 44.4940883),2.0,LTS 3-4 with traffic signals
250734855,44.4885205,11.3576128,4,,,POINT (11.3576128 44.4885205),3.0,Node LTS is max intersecting LTS
250734858,44.4848068,11.3566809,3,,,POINT (11.3566809 44.4848068),3.0,Node LTS is max intersecting LTS
250734860,44.4845997,11.3564502,4,,,POINT (11.3564502 44.4845997),4.0,Node LTS is max intersecting LTS
250734900,44.4854726,11.3480146,4,traffic_signals,,POINT (11.3480146 44.4854726),2.0,LTS 3-4 with traffic signals
250734904,44.4888024,11.3335485,4,traffic_signals,,POINT (11.3335485 44.4888024),2.0,LTS 3-4 with traffic signals
250734905,44.4901514,11.3299727,4,traffic_signals,,POINT (11.3299727 44.4901514),2.0,LTS 3-4 with traffic signals
250734907,44.4904964,11.3296641,4,,,POINT (11.3296641 44.4904964),3.0,Node LTS is max intersecting LTS
250734913,44.4990772,11.3272711,4,,,POINT (11.3272711 44.4990772),3.0,Node LTS is max intersecting LTS
250734916,44.4993232,11.3274163,4,,,POINT (11.3274163 44.4993232),3.0,Node LTS is max intersecting LTS
250734917,44.4994986,11.327527,3,,,POINT (11.327527 44.4994986),3.0,Node LTS is max intersecting LTS
250734919,44.5009244,11.3302198,4,,,POINT (11.3302198 44.5009244),3.0,Node LTS is max intersecting LTS
250734921,44.5032465,11.3348233,4,,,POINT (11.3348233 44.5032465),3.0,Node LTS is max intersecting LTS
250734925,44.50538,11.3414337,4,traffic_signals,,POINT (11.3414337 44.50538),2.0,LTS 3-4 with traffic signals
250734965,44.5022473,11.3395156,4,crossing,,POINT (11.3395156 44.5022473),3.0,Node LTS is max intersecting LTS
250734967,44.5020354,11.3395299,3,,,POINT (11.3395299 44.5020354),3.0,Node LTS is max intersecting LTS
250734970,44.50185,11.3401036,3,,,POINT (11.3401036 44.50185),3.0,Node LTS is max intersecting LTS
250734971,44.5019135,11.3402473,3,,,POINT (11.3402473 44.5019135),3.0,Node LTS is max intersecting LTS
250734972,44.5020514,11.340377,4,crossing,,POINT (11.340377 44.5020514),3.0,Node LTS is max intersecting LTS
250734974,44.5023733,11.3402835,3,,,POINT (11.3402835 44.5023733),3.0,Node LTS is max intersecting LTS
250734977,44.5024674,11.3398313,3,,,POINT (11.3398313 44.5024674),3.0,Node LTS is max intersecting LTS
250735011,44.493569,11.3423197,1,,,POINT (11.3423197 44.493569),1.0,Node LTS is max intersecting LTS
250735012,44.4928697,11.3420643,3,,,POINT (11.3420643 44.4928697),1.0,Node LTS is max intersecting LTS
250735013,44.492415,11.341957,3,,,POINT (11.341957 44.492415),1.0,Node LTS is max intersecting LTS
250735014,44.4921782,11.3418813,3,,,POINT (11.3418813 44.4921782),1.0,Node LTS is max intersecting LTS
250735019,44.4888883,11.3403149,3,,,POINT (11.3403149 44.4888883),3.0,Node LTS is max intersecting LTS
250735045,44.4913161,11.3401286,3,,,POINT (11.3401286 44.4913161),3.0,Node LTS is max intersecting LTS
