u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
267005894,1646275671,0,2.58697e+08,,['Pista ciclabile Bolzano-Merano - Radweg Meran-Bozen'],cycleway,,"LINESTRING (676499.6758480499 5150499.417078232, 676490.5134853531 5150500.151113883, 676468.9196853708 5150497.287092146, 676459.2715927957 5150498.8744386425, 676451.985931544 5150501.108850698, 676445.3593238626 5150504.452276634, 676434.059898652 5150512.630582693, 676418.4357669675 5150521.339135178, 676406.8951374389 5150524.083617728)",99.252,s3,1,1,1.7378467472171137,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
267005894,7239401988,0,"[ 775998448, 909105693, 775998447 ]",,['Pista ciclabile Bolzano-Merano - Radweg Meran-Bozen'],cycleway,,"LINESTRING (676499.6758480499 5150499.417078232, 676504.3280374516 5150497.139389887, 676503.0498119958 5150494.3442553915, 676498.6661261916 5150484.764082173, 676471.6996475931 5150425.81810715, 676468.5710906556 5150419.032415507)",91.046,s3,1,1,2.3829989577216164,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
267133300,1583197422,0,1.60981e+08,,,cycleway,,"LINESTRING (677371.9816840865 5149257.1147331195, 677366.766273751 5149256.539576771)",5.232,s3,1,1,1.3462357410221577,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
267133300,2786547818,0,2.56269e+07,,,cycleway,,"LINESTRING (677371.9816840865 5149257.1147331195, 677380.0810705632 5149270.462945588, 677382.4198992901 5149277.971095999, 677386.8279147121 5149287.497023036, 677392.7090362262 5149297.355191697)",45.433,s3,1,1,6.9731517934621605,5-8: medium,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
267133300,1846590651,0,2.70566e+07,,,cycleway,,"LINESTRING (677371.9816840865 5149257.1147331195, 677363.07628127 5149240.851582986, 677350.2453494412 5149217.211832109, 677337.6794560081 5149195.014431898, 677313.6737417537 5149147.572236039, 677270.5259037435 5149064.473713339, 677208.0921446158 5148944.536383231, 677191.8547069373 5148915.159332114, 677187.2440205582 5148908.341098697, 677183.1328653345 5148901.78211973, 677179.8443879661 5148893.100899064, 677169.381325531 5148869.36400347, 677146.7163998261 5148824.06361344, 677101.34634757 5148730.592858823, 677068.582905123 5148661.900383312, 677055.0887661804 5148632.993114949, 677025.5043013105 5148567.496407291, 676991.8787931693 5148490.627890782, 676976.59134675 5148457.843021573, 676958.1293705549 5148417.448043732, 676940.8695246091 5148378.244753552, 676925.503547034 5148342.5997650055, 676894.7932686704 5148267.385003241, 676880.1388893635 5148231.560751168, 676859.754074383 5148183.270069623, 676843.1365352403 5148148.345060692, 676822.7924842802 5148104.170347361, 676815.2193259199 5148087.168607998, 676800.7556516087 5148019.7232340025, 676785.8878236215 5147946.883781189, 676779.984476383 5147899.471514098, 676775.7859292297 5147850.251808952, 676773.1724683039 5147793.049253283, 676772.2921748386 5147700.366985677, 676772.3625129665 5147660.768679886, 676772.5915171128 5147645.262156621, 676772.6650584597 5147637.991446338)",1749.086,s3,1,1,0.4300621840665819,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
279306719,9560555356,0,2.56269e+07,,,cycleway,,"LINESTRING (677553.8733433438 5149519.982551069, 677565.3201688321 5149532.595043744, 677607.2575074967 5149591.450921994, 677638.24953489 5149628.167600822, 677686.3708884388 5149677.81944444)",206.269,s3,1,1,0.544569245871134,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
279306719,2786547818,0,2.56269e+07,,,cycleway,,"LINESTRING (677553.8733433438 5149519.982551069, 677549.2994602537 5149514.299375314, 677519.7895697919 5149477.304118114, 677492.9310960986 5149444.467938793, 677474.9393635595 5149420.787986335, 677446.6734128088 5149382.472831984, 677406.9245268407 5149317.7772110915, 677398.1268715353 5149306.766105865, 677392.7090362262 5149297.355191697)",275.04,s3,1,1,0.6649501894548709,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
279306752,9516634718,0,2.56269e+07,,,cycleway,,"LINESTRING (678235.8184705091 5150200.499630941, 678161.8091872787 5150126.806175412, 678151.0905181182 5150116.159948003)",119.385,s3,1,1,0.05419994398378444,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
279306752,1729573851,0,7.47023e+07,,,cycleway,,"LINESTRING (678235.8184705091 5150200.499630941, 678254.3479616831 5150223.475128914, 678264.3629086923 5150233.222323173)",43.442,s3,1,1,0.1442896539079531,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
279306752,882424421,0,1.00248e+09,,,cycleway,,"LINESTRING (678235.8184705091 5150200.499630941, 678234.5088966493 5150201.929064385, 678231.3621017325 5150205.228368312)",6.491,s3,1,1,1.4022974291930541,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
