osmid,y,x,highway,street_count,geometry,lts,message
9195377,46.4770713,11.3181598,motorway_junction,3,POINT (11.3181598 46.4770713),0.0,Node LTS is max intersecting LTS
29541669,46.4938963,11.4084499,,3,POINT (11.4084499 46.4938963),0.0,Node LTS is max intersecting LTS
143410459,46.5002555,11.3610722,,3,POINT (11.3610722 46.5002555),2.0,Node LTS is max intersecting LTS
143410470,46.5000014,11.3639086,,4,POINT (11.3639086 46.5000014),3.0,Node LTS is max intersecting LTS
143410471,46.5001423,11.36429,,3,POINT (11.36429 46.5001423),3.0,Node LTS is max intersecting LTS
143410487,46.4985568,11.3649736,,3,POINT (11.3649736 46.4985568),3.0,Node LTS is max intersecting LTS
143410491,46.4983158,11.3649887,,3,POINT (11.3649887 46.4983158),3.0,Node LTS is max intersecting LTS
143410493,46.4977662,11.3660852,traffic_signals,4,POINT (11.3660852 46.4977662),2.0,LTS 3-4 with traffic signals
143410506,46.4941616,11.3677365,crossing,3,POINT (11.3677365 46.4941616),3.0,Node LTS is max intersecting LTS
143410507,46.4930963,11.3686182,traffic_signals,3,POINT (11.3686182 46.4930963),2.0,LTS 3-4 with traffic signals
143410508,46.4924982,11.3689811,,3,POINT (11.3689811 46.4924982),3.0,Node LTS is max intersecting LTS
143412409,46.4960352,11.3401594,crossing,4,POINT (11.3401594 46.4960352),3.0,Node LTS is max intersecting LTS
143412412,46.4949566,11.3402132,traffic_signals,4,POINT (11.3402132 46.4949566),2.0,LTS 3-4 with traffic signals
143412418,46.4946837,11.3457691,crossing,4,POINT (11.3457691 46.4946837),3.0,Node LTS is max intersecting LTS
143412419,46.4946987,11.3465354,,4,POINT (11.3465354 46.4946987),4.0,Node LTS is max intersecting LTS
143412429,46.4950159,11.3544805,,3,POINT (11.3544805 46.4950159),3.0,Node LTS is max intersecting LTS
143412430,46.495064,11.3552379,traffic_signals,3,POINT (11.3552379 46.495064),2.0,LTS 3-4 with traffic signals
143412435,46.4968639,11.3578368,,3,POINT (11.3578368 46.4968639),3.0,Node LTS is max intersecting LTS
143412439,46.4990981,11.3612289,,4,POINT (11.3612289 46.4990981),2.0,Node LTS is max intersecting LTS
143412440,46.5003982,11.3607365,,3,POINT (11.3607365 46.5003982),2.0,Node LTS is max intersecting LTS
143412445,46.5012373,11.3568484,,4,POINT (11.3568484 46.5012373),2.0,Node LTS is max intersecting LTS
143412448,46.5011426,11.3555481,,3,POINT (11.3555481 46.5011426),2.0,Node LTS is max intersecting LTS
143412454,46.5010206,11.3536792,,3,POINT (11.3536792 46.5010206),2.0,Node LTS is max intersecting LTS
143412460,46.5013378,11.3511961,,3,POINT (11.3511961 46.5013378),2.0,Node LTS is max intersecting LTS
143412465,46.5015001,11.3496823,,3,POINT (11.3496823 46.5015001),2.0,Node LTS is max intersecting LTS
143412478,46.4990427,11.3492012,,4,POINT (11.3492012 46.4990427),2.0,Node LTS is max intersecting LTS
143412479,46.4990752,11.3483542,,3,POINT (11.3483542 46.4990752),2.0,Node LTS is max intersecting LTS
143412481,46.4990611,11.3478635,,3,POINT (11.3478635 46.4990611),2.0,Node LTS is max intersecting LTS
143412495,46.5017626,11.3445448,,3,POINT (11.3445448 46.5017626),4.0,Node LTS is max intersecting LTS
143413284,46.509754,11.3475482,,3,POINT (11.3475482 46.509754),4.0,Node LTS is max intersecting LTS
143413286,46.5091385,11.3470764,,3,POINT (11.3470764 46.5091385),4.0,Node LTS is max intersecting LTS
143415744,46.4746704,11.3169717,,3,POINT (11.3169717 46.4746704),3.0,Node LTS is max intersecting LTS
143420947,46.5013,11.311966,,3,POINT (11.311966 46.5013),3.0,Node LTS is max intersecting LTS
143420961,46.5033039,11.322613,,3,POINT (11.322613 46.5033039),3.0,Node LTS is max intersecting LTS
143420965,46.5028626,11.3293429,,3,POINT (11.3293429 46.5028626),3.0,Node LTS is max intersecting LTS
143420975,46.5039575,11.3335893,traffic_signals,4,POINT (11.3335893 46.5039575),2.0,LTS 3-4 with traffic signals
143422373,46.4884869,11.3006873,,3,POINT (11.3006873 46.4884869),4.0,Node LTS is max intersecting LTS
143422383,46.4927277,11.3083766,,3,POINT (11.3083766 46.4927277),3.0,Node LTS is max intersecting LTS
143422391,46.4977624,11.3044885,traffic_signals,4,POINT (11.3044885 46.4977624),2.0,LTS 3-4 with traffic signals
143422395,46.4987297,11.3067321,,3,POINT (11.3067321 46.4987297),3.0,Node LTS is max intersecting LTS
143422398,46.5001482,11.3111453,,3,POINT (11.3111453 46.5001482),3.0,Node LTS is max intersecting LTS
143423323,46.5183891,11.3579236,,3,POINT (11.3579236 46.5183891),3.0,Node LTS is max intersecting LTS
143423343,46.5122156,11.3531291,,3,POINT (11.3531291 46.5122156),3.0,Node LTS is max intersecting LTS
143423360,46.5066739,11.3543553,,3,POINT (11.3543553 46.5066739),2.0,Node LTS is max intersecting LTS
143423363,46.5052293,11.3548786,,3,POINT (11.3548786 46.5052293),2.0,Node LTS is max intersecting LTS
143423374,46.5018292,11.3576851,,3,POINT (11.3576851 46.5018292),2.0,Node LTS is max intersecting LTS
143423376,46.5017089,11.3590551,,4,POINT (11.3590551 46.5017089),2.0,Node LTS is max intersecting LTS
143423721,46.497459,11.3555648,,3,POINT (11.3555648 46.497459),2.0,Node LTS is max intersecting LTS
143423922,46.4946406,11.3541445,crossing,4,POINT (11.3541445 46.4946406),4.0,Node LTS is max intersecting LTS
143423927,46.4941543,11.3554823,,3,POINT (11.3554823 46.4941543),4.0,Node LTS is max intersecting LTS
143423931,46.4932447,11.3583144,,3,POINT (11.3583144 46.4932447),4.0,Node LTS is max intersecting LTS
143423935,46.4927654,11.3596338,,3,POINT (11.3596338 46.4927654),4.0,Node LTS is max intersecting LTS
143423965,46.4950626,11.3540851,,4,POINT (11.3540851 46.4950626),4.0,Node LTS is max intersecting LTS
