osmid,y,x,street_count,highway,ref,geometry,lts,message
275047641,46.1603739,12.6615432,3,,,POINT (12.6615432 46.1603739),4.0,Node LTS is max intersecting LTS
275047646,46.1576454,12.6603584,3,,,POINT (12.6603584 46.1576454),4.0,Node LTS is max intersecting LTS
275047789,46.1014144,12.6516924,3,,,POINT (12.6516924 46.1014144),4.0,Node LTS is max intersecting LTS
275047807,46.1461234,12.6684513,3,,,POINT (12.6684513 46.1461234),4.0,Node LTS is max intersecting LTS
275048618,46.1630372,12.6611966,4,,,POINT (12.6611966 46.1630372),4.0,Node LTS is max intersecting LTS
275048626,46.1658217,12.6609156,3,,,POINT (12.6609156 46.1658217),4.0,Node LTS is max intersecting LTS
275052691,46.1649346,12.6481976,3,,,POINT (12.6481976 46.1649346),4.0,Node LTS is max intersecting LTS
295257285,46.0887289,12.6523273,3,,,POINT (12.6523273 46.0887289),4.0,Node LTS is max intersecting LTS
295279410,46.1287778,12.658036,3,,,POINT (12.658036 46.1287778),4.0,Node LTS is max intersecting LTS
318694337,46.1432385,12.6576322,3,,,POINT (12.6576322 46.1432385),3.0,Node LTS is max intersecting LTS
318694350,46.1474425,12.6537874,3,,,POINT (12.6537874 46.1474425),3.0,Node LTS is max intersecting LTS
318694358,46.1496028,12.655481,4,,,POINT (12.655481 46.1496028),3.0,Node LTS is max intersecting LTS
318694360,46.1483053,12.6566212,3,,,POINT (12.6566212 46.1483053),3.0,Node LTS is max intersecting LTS
318694369,46.152631,12.6618241,3,,,POINT (12.6618241 46.152631),4.0,Node LTS is max intersecting LTS
318694388,46.1534669,12.658752,3,,,POINT (12.658752 46.1534669),3.0,Node LTS is max intersecting LTS
318694398,46.1580291,12.6636249,4,,,POINT (12.6636249 46.1580291),4.0,Node LTS is max intersecting LTS
318694413,46.1471706,12.6683626,3,,,POINT (12.6683626 46.1471706),4.0,Node LTS is max intersecting LTS
326040684,46.1508591,12.6000707,1,,,POINT (12.6000707 46.1508591),,Node not found in edges
326044370,46.1509023,12.6144451,3,,,POINT (12.6144451 46.1509023),4.0,Node LTS is max intersecting LTS
326044388,46.1512098,12.6157889,4,,,POINT (12.6157889 46.1512098),4.0,Node LTS is max intersecting LTS
326044650,46.1564654,12.6227746,3,,,POINT (12.6227746 46.1564654),4.0,Node LTS is max intersecting LTS
375693963,46.1413279,12.63412,4,,,POINT (12.63412 46.1413279),4.0,Node LTS is max intersecting LTS
