u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,oneway,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
375694438,4230598315,0,3.3744e+08,,['MV 06'],cycleway,,"LINESTRING (781183.6521093834 5115610.847352658, 781192.7312138472 5115615.060335168, 781205.6837948423 5115620.2081008665, 781253.0202981851 5115638.100286734, 781324.8470768176 5115665.400092726, 781334.4094622135 5115675.269019417)",164.637,0,s3,1,1,1.6360384809875068,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334605,3506974439,0,1.78879e+08,,,cycleway,,"LINESTRING (780755.2535854869 5113532.442036055, 780736.8040444261 5113516.189075995, 780721.7241454578 5113501.927391355, 780707.7707227948 5113484.366170968, 780697.6096801505 5113470.218328403, 780690.3614809298 5113459.755326255)",97.746,0,s3,1,1,1.7091255876451956,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334637,481334639,0,4.00324e+07,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (780693.5073858981 5115384.275456162, 780703.3536009693 5115378.847883523, 780725.356179527 5115365.549026881, 780746.1327326224 5115354.854970186)",60.167,0,s3,1,1,1.395103389421885,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334639,481334646,0,4.00324e+07,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (780746.1327326224 5115354.854970186, 780760.2747376689 5115351.795220954, 780790.1440239678 5115339.625066659, 780819.9439534738 5115328.465008143, 780852.9780254895 5115313.111226859, 780884.7603662603 5115296.531250316, 780907.0043016546 5115283.555777911, 780924.7071835091 5115269.5150150675, 780949.1690228209 5115262.363883067, 781041.387365436 5115228.748256618, 781084.9776167505 5115207.210632564, 781143.8681831537 5115173.749607142, 781150.2139440698 5115175.298694499)",444.467,0,s3,1,1,1.994354021044969,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334639,481334637,0,4.00324e+07,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (780746.1327326224 5115354.854970186, 780725.356179527 5115365.549026881, 780703.3536009693 5115378.847883523, 780693.5073858981 5115384.275456162)",60.167,0,s3,1,1,1.395103389421885,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334646,737610454,0,4.00324e+07,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781150.2139440698 5115175.298694499, 781151.3103960059 5115194.598686908, 781155.8452423918 5115218.587676471, 781157.325580451 5115233.2292357655, 781163.3533029107 5115242.724165469, 781168.1097119986 5115247.028280358, 781175.4591516729 5115253.188144033, 781184.5817294638 5115265.241001692, 781208.09261483 5115302.792575361, 781219.9906200074 5115321.664013818, 781235.4981891604 5115342.838695392, 781256.182595703 5115367.245833966, 781276.774667395 5115389.444395954, 781285.5250869122 5115402.682780019, 781292.8562846897 5115414.631376535, 781301.4905969201 5115433.097191203, 781310.5472406102 5115450.7919276655, 781317.4688392921 5115460.194470337)",337.368,0,s3,1,1,3.2724298354490102,3-5: mild,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
481334646,481334639,0,4.00324e+07,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781150.2139440698 5115175.298694499, 781143.8681831537 5115173.749607142, 781084.9776167505 5115207.210632564, 781041.387365436 5115228.748256618, 780949.1690228209 5115262.363883067, 780924.7071835091 5115269.5150150675, 780907.0043016546 5115283.555777911, 780884.7603662603 5115296.531250316, 780852.9780254895 5115313.111226859, 780819.9439534738 5115328.465008143, 780790.1440239678 5115339.625066659, 780760.2747376689 5115351.795220954, 780746.1327326224 5115354.854970186)",444.467,0,s3,1,1,1.99435402104497,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
737610454,481334646,0,4.00324e+07,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781317.4688392921 5115460.194470337, 781310.5472406102 5115450.7919276655, 781301.4905969201 5115433.097191203, 781292.8562846897 5115414.631376535, 781285.5250869122 5115402.682780019, 781276.774667395 5115389.444395954, 781256.182595703 5115367.245833966, 781235.4981891604 5115342.838695392, 781219.9906200074 5115321.664013818, 781208.09261483 5115302.792575361, 781184.5817294638 5115265.241001692, 781175.4591516729 5115253.188144033, 781168.1097119986 5115247.028280358, 781163.3533029107 5115242.724165469, 781157.325580451 5115233.2292357655, 781155.8452423918 5115218.587676471, 781151.3103960059 5115194.598686908, 781150.2139440698 5115175.298694499)",337.368,0,s3,1,1,3.2724298354490102,3-5: mild,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
912306659,4144795322,0,1.30072e+08,,,cycleway,,"LINESTRING (782291.6981710632 5117726.990096682, 782318.3215281623 5117699.814988842, 782354.8721242268 5117667.77562913, 782403.2603807373 5117635.257848914, 782428.259098988 5117619.509361438, 782447.2646965958 5117607.715451075)",196.45,0,s3,1,1,2.1553327146297216,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
1894585978,1894585980,0,1.79119e+08,,['Itinerario pedemontano pordenonese'],cycleway,,"LINESTRING (781328.624212859 5115456.44228952, 781336.5805231386 5115464.211188242, 781347.1292851474 5115475.194186734, 781394.7387524786 5115537.912187736, 781405.5892340464 5115550.579181423, 781414.1594978466 5115558.120315502)",132.959,0,s3,1,1,2.850799065709917,0-3: flat,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
