u,v,key,osmid,lanes,name,highway,maxspeed,geometry,length,rule,lts,group,slope,slope_class,lanes_assumed,maxspeed_assumed,message,short_message
9201719,2990689030,0,2.95362e+08,,,cycleway,,"LINESTRING (656777.5337785777 5081830.273520176, 656782.7000899459 5081821.2992055435, 656788.6593150395 5081824.562945656, 656791.109842903 5081825.314267845, 656793.0063835566 5081824.328373677, 656796.7475068509 5081821.955046513, 656805.7622902143 5081806.063142861, 656807.7522227947 5081802.922850194, 656811.7142596301 5081801.333340347, 656817.1418046325 5081801.059441081, 656824.4058088512 5081801.86596876)",65.197,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
9201719,2990699450,0,2.95362e+08,,,cycleway,,"LINESTRING (656777.5337785777 5081830.273520176, 656774.0901414377 5081836.234178393, 656784.7392696451 5081842.284817174, 656789.4766385754 5081845.651031714, 656792.8999812983 5081850.306944258, 656794.6190709841 5081855.40887002, 656794.694823659 5081860.391364565, 656793.7502958131 5081866.104005517, 656790.424082099 5081872.334444645, 656784.9230664955 5081875.819420355, 656775.8116679016 5081882.0368019575, 656767.1422478212 5081890.121983872, 656758.5548966277 5081898.9541173205)",95.569,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
258562270,7894980143,0,8.46214e+08,,,cycleway,,"LINESTRING (658354.9755845824 5083138.819197203, 658357.2061744549 5083136.608287618, 658346.8276191419 5083127.104122357, 658222.0082524326 5082998.873735784, 658221.358267508 5082997.267318716, 658221.4233059438 5082993.811436538, 658220.7276227749 5082991.258863491, 658219.096348577 5082989.160430023, 658216.776743104 5082987.867099317, 658214.1367191852 5082987.56615557, 658211.5863953363 5082988.3125510635, 658189.187080215 5082964.860281588)",246.771,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
262492159,1669791687,0,1.83419e+08,,,cycleway,,"LINESTRING (658310.6484340623 5083835.143235481, 658307.5752417401 5083835.097973262)",3.065,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
266373697,299698154,0,2.76258e+07,,,cycleway,,"LINESTRING (656411.0468737624 5083539.057445581, 656410.4298506753 5083547.190875535, 656409.9526142065 5083563.310101359, 656410.6509628411 5083582.371784968, 656411.9883957462 5083601.949901928)",63.013,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
266373697,305050487,0,3.56946e+07,,"[""Pista Ciclabile Valle dell'Adige""]",cycleway,,"LINESTRING (656411.0468737624 5083539.057445581, 656412.8235052871 5083512.68750286, 656417.0910036695 5083486.369393622)",53.117,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
266373697,299698163,0,3.56946e+07,,"[""Pista Ciclabile Valle dell'Adige""]",cycleway,,"LINESTRING (656411.0468737624 5083539.057445581, 656419.2189165846 5083564.678256141, 656422.7323776083 5083576.796037234)",39.517,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
269602309,6088087281,0,2.45027e+08,,,cycleway,,"LINESTRING (657935.5062875852 5083754.317153596, 657937.8889530716 5083755.867703832, 657950.8384722415 5083852.29785085, 657951.9485580253 5083855.038853724)",103.131,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
269680154,8455747655,0,2.77817e+07,,,cycleway,,"LINESTRING (656731.3561391046 5081942.946285757, 656745.9720401525 5081961.015075751, 656767.3439316696 5081987.982069228, 656767.7921344896 5081988.682692669)",58.432,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
269680176,6615816438,0,2.92096e+08,,,cycleway,,"LINESTRING (656924.1962809588 5082789.716067822, 656920.5457511107 5082787.922571972)",4.058,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
269680176,550506106,0,2.92096e+08,,,cycleway,,"LINESTRING (656924.1962809588 5082789.716067822, 656928.2424272951 5082791.830881467)",4.556,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
298375246,298375248,0,2.71913e+07,,,cycleway,,"LINESTRING (657676.1154351325 5083111.361408044, 657686.352645634 5083111.822301255, 657697.8863452395 5083112.59417765, 657699.3391535323 5083112.864656756, 657700.688260013 5083113.243668849, 657702.0300068867 5083113.91154778, 657703.1597043516 5083114.674081758)",27.476,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
298375246,417394605,0,3.16484e+07,,['Pista ciclabile Alexander Langer'],cycleway,,"LINESTRING (657676.1154351325 5083111.361408044, 657672.3125395345 5083109.163338813, 657669.6572449412 5083107.939487427, 657667.3015687038 5083107.145732378, 657578.8288561313 5083086.626873035)",100.364,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
298375248,298375246,0,2.71913e+07,,,cycleway,,"LINESTRING (657703.1597043516 5083114.674081758, 657702.0300068867 5083113.91154778, 657700.688260013 5083113.243668849, 657699.3391535323 5083112.864656756, 657697.8863452395 5083112.59417765, 657686.352645634 5083111.822301255, 657676.1154351325 5083111.361408044)",27.476,s3,1,1,,,,,This way is a separated path because highway='cycleway'.,"highway $=$ ""cycleway"""
