osmid,y,x,street_count,highway,geometry,lts,message
9191979,45.870918,11.0178886,3,,POINT (11.0178886 45.870918),3.0,Node LTS is max intersecting LTS
9192208,45.907566,11.0402914,3,,POINT (11.0402914 45.907566),3.0,Node LTS is max intersecting LTS
9192259,45.8503059,11.0023027,3,,POINT (11.0023027 45.8503059),3.0,Node LTS is max intersecting LTS
9192610,45.8918544,11.0343117,4,,POINT (11.0343117 45.8918544),3.0,Node LTS is max intersecting LTS
9194850,45.9019839,11.0361912,3,,POINT (11.0361912 45.9019839),3.0,Node LTS is max intersecting LTS
9195164,45.8726454,11.0214942,3,,POINT (11.0214942 45.8726454),3.0,Node LTS is max intersecting LTS
9195630,45.8939249,11.0342583,3,,POINT (11.0342583 45.8939249),3.0,Node LTS is max intersecting LTS
9196366,45.9013991,11.0360846,3,,POINT (11.0360846 45.9013991),3.0,Node LTS is max intersecting LTS
9196515,45.9018311,11.0346291,3,,POINT (11.0346291 45.9018311),3.0,Node LTS is max intersecting LTS
9196519,45.8910575,11.0349538,3,,POINT (11.0349538 45.8910575),4.0,Node LTS is max intersecting LTS
9199172,45.8727443,11.0224625,3,,POINT (11.0224625 45.8727443),3.0,Node LTS is max intersecting LTS
9201425,45.8503471,11.0023157,3,,POINT (11.0023157 45.8503471),3.0,Node LTS is max intersecting LTS
9201507,45.8873787,11.0332156,3,,POINT (11.0332156 45.8873787),3.0,Node LTS is max intersecting LTS
9201719,45.872181,11.02007,5,crossing,POINT (11.02007 45.872181),4.0,Node LTS is max intersecting LTS
9201857,45.8727966,11.0313826,3,,POINT (11.0313826 45.8727966),4.0,Node LTS is max intersecting LTS
9201874,45.8923645,11.0342762,3,,POINT (11.0342762 45.8923645),3.0,Node LTS is max intersecting LTS
9201982,45.8907642,11.0347135,3,,POINT (11.0347135 45.8907642),4.0,Node LTS is max intersecting LTS
9202478,45.8728295,11.031064,3,,POINT (11.031064 45.8728295),4.0,Node LTS is max intersecting LTS
9202874,45.8507331,11.0021964,3,,POINT (11.0021964 45.8507331),4.0,Node LTS is max intersecting LTS
9204123,45.9145034,11.0464426,3,,POINT (11.0464426 45.9145034),3.0,Node LTS is max intersecting LTS
9204530,45.8899828,11.0339729,5,,POINT (11.0339729 45.8899828),3.0,Node LTS is max intersecting LTS
9204733,45.8724032,11.0210337,3,,POINT (11.0210337 45.8724032),4.0,Node LTS is max intersecting LTS
9205615,45.8500643,11.0020427,3,,POINT (11.0020427 45.8500643),3.0,Node LTS is max intersecting LTS
9205654,45.9036982,11.0363168,4,,POINT (11.0363168 45.9036982),4.0,Node LTS is max intersecting LTS
9205872,45.8908631,11.0349663,3,,POINT (11.0349663 45.8908631),4.0,Node LTS is max intersecting LTS
9205990,45.9106473,11.0418933,3,,POINT (11.0418933 45.9106473),3.0,Node LTS is max intersecting LTS
9208058,45.8601116,11.0011578,3,,POINT (11.0011578 45.8601116),4.0,Node LTS is max intersecting LTS
9208454,45.9016202,11.036394,3,,POINT (11.036394 45.9016202),3.0,Node LTS is max intersecting LTS
9208963,45.8810768,11.0318168,3,,POINT (11.0318168 45.8810768),3.0,Node LTS is max intersecting LTS
9209554,45.8911421,11.0347308,3,,POINT (11.0347308 45.8911421),4.0,Node LTS is max intersecting LTS
9209635,45.9013912,11.0360187,3,,POINT (11.0360187 45.9013912),3.0,Node LTS is max intersecting LTS
9209641,45.8764908,11.0320075,4,,POINT (11.0320075 45.8764908),3.0,Node LTS is max intersecting LTS
9209667,45.8727501,11.0312224,3,,POINT (11.0312224 45.8727501),4.0,Node LTS is max intersecting LTS
9209893,45.8728417,11.0307263,3,crossing,POINT (11.0307263 45.8728417),4.0,Node LTS is max intersecting LTS
9210257,45.9016138,11.0346853,3,,POINT (11.0346853 45.9016138),3.0,Node LTS is max intersecting LTS
9210765,45.8500243,11.0019006,3,,POINT (11.0019006 45.8500243),3.0,Node LTS is max intersecting LTS
9211427,45.8999651,11.0355139,3,,POINT (11.0355139 45.8999651),4.0,Node LTS is max intersecting LTS
27584631,45.8489367,11.0011627,3,,POINT (11.0011627 45.8489367),0.0,Node LTS is max intersecting LTS
28846572,45.8495451,11.0007516,3,,POINT (11.0007516 45.8495451),3.0,Node LTS is max intersecting LTS
28846580,45.8500663,11.0013646,3,,POINT (11.0013646 45.8500663),3.0,Node LTS is max intersecting LTS
123672524,45.8480531,10.9996903,3,motorway_junction,POINT (10.9996903 45.8480531),0.0,Node LTS is max intersecting LTS
143684806,45.8466273,11.0017978,3,,POINT (11.0017978 45.8466273),0.0,Node LTS is max intersecting LTS
143684820,45.8466324,10.9998111,3,,POINT (10.9998111 45.8466324),,Node not found in edges
156977009,45.8508877,11.0014426,3,,POINT (11.0014426 45.8508877),3.0,Node LTS is max intersecting LTS
156977029,45.8504674,11.0010301,3,,POINT (11.0010301 45.8504674),4.0,Node LTS is max intersecting LTS
156977040,45.8500297,11.0014879,3,,POINT (11.0014879 45.8500297),3.0,Node LTS is max intersecting LTS
