osmid,y,x,street_count,highway,ref,geometry,lts,message
9191982,46.0499659,11.1169915,3,,,POINT (11.1169915 46.0499659),3.0,Node LTS is max intersecting LTS
9192420,46.0769831,11.1112197,3,,,POINT (11.1112197 46.0769831),3.0,Node LTS is max intersecting LTS
9192593,46.0521542,11.117097,3,,,POINT (11.117097 46.0521542),3.0,Node LTS is max intersecting LTS
9193468,46.0763736,11.113042,4,,,POINT (11.113042 46.0763736),3.0,Node LTS is max intersecting LTS
9193607,46.054411,11.1295641,3,,,POINT (11.1295641 46.054411),3.0,Node LTS is max intersecting LTS
9193996,46.0534124,11.1185143,3,,,POINT (11.1185143 46.0534124),3.0,Node LTS is max intersecting LTS
9194605,46.0609442,11.1248663,4,traffic_signals,,POINT (11.1248663 46.0609442),2.0,LTS 3-4 with traffic signals
9195109,46.0072578,11.1238979,4,motorway_junction,1,POINT (11.1238979 46.0072578),,Node not found in edges
9195133,46.0524495,11.1285953,4,crossing,,POINT (11.1285953 46.0524495),3.0,Node LTS is max intersecting LTS
9195545,46.0563216,11.1286141,3,,,POINT (11.1286141 46.0563216),3.0,Node LTS is max intersecting LTS
9197871,46.0555678,11.118424,3,,,POINT (11.118424 46.0555678),3.0,Node LTS is max intersecting LTS
9198768,46.0529696,11.1187289,2,,,POINT (11.1187289 46.0529696),3.0,Node LTS is max intersecting LTS
9199072,46.0748465,11.1125541,3,motorway_junction,6,POINT (11.1125541 46.0748465),,Node not found in edges
9199373,46.050565,11.1169532,3,,,POINT (11.1169532 46.050565),3.0,Node LTS is max intersecting LTS
9199861,46.0533993,11.127988,3,,,POINT (11.127988 46.0533993),3.0,Node LTS is max intersecting LTS
9200183,46.0523993,11.1282206,4,crossing,,POINT (11.1282206 46.0523993),3.0,Node LTS is max intersecting LTS
9201553,46.0445841,11.1168174,3,,,POINT (11.1168174 46.0445841),,Node not found in edges
9201815,46.0367779,11.1249583,3,,,POINT (11.1249583 46.0367779),,Node not found in edges
